model,split,metric,value,unit,target,target_unit
persistence,validation,mae,1.1688996877125792,W,target_power_30m,W
persistence,validation,rmse,1.855404879447844,W,target_power_30m,W
persistence,validation,r2,0.5715254501030278,dimensionless,target_power_30m,W
persistence,test,mae,1.1759198533484814,W,target_power_30m,W
persistence,test,rmse,1.729499839998615,W,target_power_30m,W
persistence,test,r2,0.5982790418728454,dimensionless,target_power_30m,W
historical_power_ridge,validation,mae,1.12152247977447,W,target_power_30m,W
historical_power_ridge,validation,rmse,1.7892582133585224,W,target_power_30m,W
historical_power_ridge,validation,r2,0.6015317877093125,dimensionless,target_power_30m,W
historical_power_ridge,test,mae,1.123551294127783,W,target_power_30m,W
historical_power_ridge,test,rmse,1.6493779635376211,W,target_power_30m,W
historical_power_ridge,test,r2,0.6346376320870958,dimensionless,target_power_30m,W
non_occupancy_multivariate_ridge,validation,mae,1.0748017022926186,W,target_power_30m,W
non_occupancy_multivariate_ridge,validation,rmse,1.7601478373812938,W,target_power_30m,W
non_occupancy_multivariate_ridge,validation,r2,0.6143920889721102,dimensionless,target_power_30m,W
non_occupancy_multivariate_ridge,test,mae,1.0800989673662498,W,target_power_30m,W
non_occupancy_multivariate_ridge,test,rmse,1.6208652205943326,W,target_power_30m,W
non_occupancy_multivariate_ridge,test,r2,0.6471604620985363,dimensionless,target_power_30m,W
