variable,unit,nilai,jumlah,proporsi
temperature_c,°C,26,16192,0.00798611111111111
temperature_c,°C,26.1,14344,0.00707465277777778
temperature_c,°C,26.2,10538,0.00519748263888889
temperature_c,°C,26.3,8206,0.00404730902777778
temperature_c,°C,26.4,8668,0.00427517361111111
temperature_c,°C,26.5,7634,0.00376519097222222
temperature_c,°C,26.6,8602,0.00424262152777778
temperature_c,°C,26.7,11660,0.00575086805555556
temperature_c,°C,26.8,15290,0.00754123263888889
temperature_c,°C,26.9,17226,0.00849609375
temperature_c,°C,27,22286,0.0109917534722222
temperature_c,°C,27.1,21692,0.0106987847222222
temperature_c,°C,27.2,19338,0.00953776041666667
temperature_c,°C,27.3,17380,0.00857204861111111
temperature_c,°C,27.4,16192,0.00798611111111111
temperature_c,°C,27.5,18854,0.00929904513888889
temperature_c,°C,27.6,23650,0.0116644965277778
temperature_c,°C,27.7,22792,0.0112413194444444
temperature_c,°C,27.8,19800,0.009765625
temperature_c,°C,27.9,20592,0.01015625
temperature_c,°C,28,23848,0.0117621527777778
temperature_c,°C,28.1,21032,0.0103732638888889
temperature_c,°C,28.2,24750,0.01220703125
temperature_c,°C,28.3,24046,0.0118598090277778
temperature_c,°C,28.4,23166,0.01142578125
temperature_c,°C,28.5,22704,0.0111979166666667
temperature_c,°C,28.6,22308,0.0110026041666667
temperature_c,°C,28.7,22176,0.0109375
temperature_c,°C,28.8,22132,0.0109157986111111
temperature_c,°C,28.9,23166,0.01142578125
temperature_c,°C,29,20724,0.0102213541666667
temperature_c,°C,29.1,17842,0.00879991319444444
temperature_c,°C,29.2,17732,0.00874565972222222
temperature_c,°C,29.3,19602,0.00966796875
temperature_c,°C,29.4,25564,0.0126085069444444
temperature_c,°C,29.5,25542,0.01259765625
temperature_c,°C,29.6,26620,0.0131293402777778
temperature_c,°C,29.7,24442,0.0120551215277778
temperature_c,°C,29.8,22660,0.0111762152777778
temperature_c,°C,29.9,20856,0.0102864583333333
temperature_c,°C,30,36014,0.0177625868055556
temperature_c,°C,30.1,40788,0.0201171875
temperature_c,°C,30.2,40392,0.019921875
temperature_c,°C,30.3,40942,0.0201931423611111
temperature_c,°C,30.4,44110,0.0217556423611111
temperature_c,°C,30.5,41184,0.0203125
temperature_c,°C,30.6,40084,0.0197699652777778
temperature_c,°C,30.7,34936,0.0172309027777778
temperature_c,°C,30.8,36498,0.0180013020833333
temperature_c,°C,30.9,36014,0.0177625868055556
temperature_c,°C,31,50732,0.0250217013888889
temperature_c,°C,31.1,48620,0.0239800347222222
temperature_c,°C,31.2,85932,0.0423828125
temperature_c,°C,31.3,47410,0.0233832465277778
temperature_c,°C,31.4,49610,0.0244683159722222
temperature_c,°C,31.5,52734,0.0260091145833333
temperature_c,°C,31.6,49588,0.0244574652777778
temperature_c,°C,31.7,48576,0.0239583333333333
temperature_c,°C,31.8,48972,0.0241536458333333
temperature_c,°C,31.9,53262,0.02626953125
temperature_c,°C,32,29414,0.0145073784722222
temperature_c,°C,32.1,29128,0.0143663194444444
temperature_c,°C,32.2,32670,0.01611328125
temperature_c,°C,32.3,30932,0.0152560763888889
temperature_c,°C,32.4,30052,0.0148220486111111
temperature_c,°C,32.5,27038,0.0133355034722222
temperature_c,°C,32.6,24024,0.0118489583333333
temperature_c,°C,32.7,24244,0.0119574652777778
temperature_c,°C,32.8,25784,0.0127170138888889
temperature_c,°C,32.9,27940,0.0137803819444444
temperature_c,°C,33,6468,0.00319010416666667
temperature_c,°C,33.1,5764,0.00284288194444444
temperature_c,°C,33.2,4378,0.00215928819444444
temperature_c,°C,33.3,3674,0.00181206597222222
temperature_c,°C,33.4,4422,0.00218098958333333
temperature_c,°C,33.5,4664,0.00230034722222222
temperature_c,°C,33.6,3960,0.001953125
temperature_c,°C,33.7,4796,0.00236545138888889
temperature_c,°C,33.8,4400,0.00217013888888889
temperature_c,°C,33.9,5522,0.00272352430555556
humidity_percent,%,47,3762,0.00185546875
humidity_percent,%,48,30250,0.0149197048611111
humidity_percent,%,49,35706,0.0176106770833333
humidity_percent,%,50,36850,0.0181749131944444
humidity_percent,%,51,49148,0.0242404513888889
humidity_percent,%,52,124058,0.0611870659722222
humidity_percent,%,53,46002,0.0226888020833333
humidity_percent,%,54,23364,0.0115234375
humidity_percent,%,55,16368,0.00807291666666667
humidity_percent,%,56,22902,0.0112955729166667
humidity_percent,%,57,26972,0.0133029513888889
humidity_percent,%,58,23298,0.0114908854166667
humidity_percent,%,59,21802,0.0107530381944444
humidity_percent,%,60,16192,0.00798611111111111
humidity_percent,%,61,11374,0.00560980902777778
humidity_percent,%,62,14894,0.00734592013888889
humidity_percent,%,63,3058,0.00150824652777778
humidity_percent,%,64,28006,0.0138129340277778
humidity_percent,%,65,67386,0.0332356770833333
humidity_percent,%,65.5,22,1.08506944444444e-05
humidity_percent,%,66,83380,0.0411241319444444
humidity_percent,%,67,67474,0.0332790798611111
humidity_percent,%,67.5,22,1.08506944444444e-05
humidity_percent,%,68,173206,0.0854275173611111
humidity_percent,%,69,174020,0.0858289930555556
humidity_percent,%,70,110198,0.0543511284722222
humidity_percent,%,71,155562,0.0767252604166667
humidity_percent,%,72,95150,0.0469292534722222
humidity_percent,%,73,95304,0.0470052083333333
humidity_percent,%,74,220440,0.108723958333333
humidity_percent,%,75,95370,0.0470377604166667
humidity_percent,%,76,56936,0.0280815972222222
humidity_percent,%,77,42812,0.0211154513888889
humidity_percent,%,78,17248,0.00850694444444444
humidity_percent,%,79,36256,0.0178819444444444
humidity_percent,%,80,2464,0.00121527777777778
humidity_percent,%,81,242,0.000119357638888889
humidity_percent,%,82,22,1.08506944444444e-05
voltage_v,V,197.8,22,1.08506944444444e-05
voltage_v,V,198.4,22,1.08506944444444e-05
voltage_v,V,198.7,22,1.08506944444444e-05
voltage_v,V,199.2,22,1.08506944444444e-05
voltage_v,V,199.7,22,1.08506944444444e-05
voltage_v,V,199.9,22,1.08506944444444e-05
voltage_v,V,200.3,22,1.08506944444444e-05
voltage_v,V,200.5,44,2.17013888888889e-05
voltage_v,V,200.7,132,6.51041666666667e-05
voltage_v,V,200.8,66,3.25520833333333e-05
voltage_v,V,200.9,22,1.08506944444444e-05
voltage_v,V,201,44,2.17013888888889e-05
voltage_v,V,201.2,66,3.25520833333333e-05
voltage_v,V,201.3,22,1.08506944444444e-05
voltage_v,V,201.4,66,3.25520833333333e-05
voltage_v,V,201.5,22,1.08506944444444e-05
voltage_v,V,201.6,66,3.25520833333333e-05
voltage_v,V,201.7,66,3.25520833333333e-05
voltage_v,V,201.8,44,2.17013888888889e-05
voltage_v,V,201.9,44,2.17013888888889e-05
voltage_v,V,202,44,2.17013888888889e-05
voltage_v,V,202.1,44,2.17013888888889e-05
voltage_v,V,202.2,132,6.51041666666667e-05
voltage_v,V,202.3,66,3.25520833333333e-05
voltage_v,V,202.4,66,3.25520833333333e-05
voltage_v,V,202.5,88,4.34027777777778e-05
voltage_v,V,202.6,66,3.25520833333333e-05
voltage_v,V,202.7,66,3.25520833333333e-05
voltage_v,V,202.8,66,3.25520833333333e-05
voltage_v,V,202.9,66,3.25520833333333e-05
voltage_v,V,203,176,8.68055555555556e-05
voltage_v,V,203.1,22,1.08506944444444e-05
voltage_v,V,203.2,88,4.34027777777778e-05
voltage_v,V,203.3,22,1.08506944444444e-05
voltage_v,V,203.4,44,2.17013888888889e-05
voltage_v,V,203.5,44,2.17013888888889e-05
voltage_v,V,203.6,132,6.51041666666667e-05
voltage_v,V,203.7,110,5.42534722222222e-05
voltage_v,V,203.8,154,7.59548611111111e-05
voltage_v,V,203.9,22,1.08506944444444e-05
voltage_v,V,204,66,3.25520833333333e-05
voltage_v,V,204.1,132,6.51041666666667e-05
voltage_v,V,204.2,176,8.68055555555556e-05
voltage_v,V,204.3,110,5.42534722222222e-05
